plate,mjd,fiber,version,url
6453,56365,678,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6453/spec-6453-56365-0678.fits
610,52056,358,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/610/spec-610-52056-0358.fits
5885,56036,228,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5885/spec-5885-56036-0228.fits
6037,56104,482,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6037/spec-6037-56104-0482.fits
4834,55685,826,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4834/spec-4834-55685-0826.fits
4211,55446,94,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4211/spec-4211-55446-0094.fits
3245,54894,517,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3245/spec-3245-54894-0517.fits
1883,53271,458,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1883/spec-1883-53271-0458.fits
2802,54326,280,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2802/spec-2802-54326-0280.fits
1127,52932,396,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1127/spec-1127-52932-0396.fits
5207,56018,485,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/5207/spec-5207-56018-0485.fits
2535,54632,567,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2535/spec-2535-54632-0567.fits
3429,54976,459,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3429/spec-3429-54976-0459.fits
3877,55365,598,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/3877/spec-3877-55365-0598.fits
4387,55534,510,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4387/spec-4387-55534-0510.fits
2671,54141,302,103,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/103/spectra/lite/2671/spec-2671-54141-0302.fits
3137,54730,19,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3137/spec-3137-54730-0019.fits
1932,53350,150,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1932/spec-1932-53350-0150.fits
7253,56598,763,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7253/spec-7253-56598-0763.fits
4071,55660,783,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/4071/spec-4071-55660-0783.fits
535,51999,4,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/535/spec-535-51999-0004.fits
3129,54747,473,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3129/spec-3129-54747-0473.fits
